field_name,field_type,kind,allowmultivalues,occurrences,placed_on_form_body,has_hidewhen,hidden_modes,likely_displayed
TRNO,text,editable,,1,True,False,,高い(画面配置あり)
TROS,text,editable,,1,True,False,,高い(画面配置あり)
Trouble_2,keyword,editable,true,1,True,False,,高い(画面配置あり)
Trouble_Approve_2,text,editable,,1,True,False,,高い(画面配置あり)
TRSN,text,editable,,1,True,False,,高い(画面配置あり)
TRSTATUS,keyword,editable,,1,True,False,,高い(画面配置あり)
TRTANTO,text,editable,,1,True,False,,高い(画面配置あり)
TRTEL,text,editable,,1,True,False,,高い(画面配置あり)
TRUMU,keyword,editable,,1,True,False,,高い(画面配置あり)
TRWORK,text,computed,,1,True,False,,高い(画面配置あり)
TRYADDRESS,text,editable,,1,True,False,,高い(画面配置あり)
TRYBIKOU,text,editable,,1,True,False,,高い(画面配置あり)
TRYJIGYOU,text,editable,,1,True,False,,高い(画面配置あり)
TRYKAISHA,text,editable,,1,True,False,,高い(画面配置あり)
TRYNAIYO,text,editable,,1,True,False,,高い(画面配置あり)
TRYNAME,text,editable,,1,True,False,,高い(画面配置あり)
TRYTEL,text,editable,,1,True,False,,高い(画面配置あり)
TTIME_H,text,editable,,1,True,False,,高い(画面配置あり)
TTIME_M,text,editable,,1,True,False,,高い(画面配置あり)
urgent,keyword,editable,,1,True,False,,高い(画面配置あり)
Version,text,editable,,1,True,False,,高い(画面配置あり)
事業所マスタID,text,computedwhencomposed,,1,True,False,,高い(画面配置あり)
保守ID,text,computedwhencomposed,,1,True,False,,高い(画面配置あり)
